Date,Open,High,Low,Close,Volume
2019-09-17,132.693,133.229,132.168,133.11,18553568.060633
2019-09-18,133.081,134.361,132.275,134.212,25259313.962124
2019-09-19,135.93,137.944,135.721,136.694,37254564.719464
2019-09-20,136.634,137.24,133.944,135.105,41326617.70502
2019-09-23,134.897,135.284,134.132,134.807,17967418.457947
2019-09-24,135.99,136.317,132.624,133.1,30980611.699736
2019-09-25,133.219,135.602,131.79,135.026,23268023.620925
2019-09-26,135.105,135.81,134.132,135.195,18385566.624612
2019-09-27,135.79,135.99,132.385,133.438,23221479.892109
2019-09-30,133.755,134.877,133.488,134.698,19022253.850648
2019-10-01,135.314,135.88,132.732,132.802,23307114.430281
2019-10-02,132.008,132.118,129.436,130.449,33029453.40644
2019-10-03,130.748,132.495,129.079,132.038,27226948.158774
2019-10-04,132.495,133.944,132.168,133.825,24605122.09568
2019-10-07,132.862,133.875,132.752,132.852,17134410.917972
2019-10-08,132.812,133.468,131.412,131.462,27643443.366818
2019-10-09,133.18,134.39,132.703,133.935,20826485.885537
2019-10-10,134.182,135.324,133.944,134.768,18987386.597354
2019-10-11,135.76,136.654,135.155,135.334,26371598.984303
2019-10-14,135.344,135.92,135.175,135.205,14028116.885906
2019-10-15,135.711,137.379,135.463,137.16,20557393.086218
2019-10-16,136.417,136.614,135.185,136.039,21510987.029798
2019-10-17,136.574,137.011,134.688,135.344,22812597.762222
2019-10-18,135.413,135.651,132.305,133.13,33321196.0702
2019-10-21,134.142,134.192,132.742,134.123,21381305.828272
2019-10-22,134.649,135.661,132.018,132.118,28832369.865275
2019-10-23,132.624,133.17,131.402,132.961,32388042.002506
2019-10-24,135.056,136.049,134.361,135.592,38475539.073787
2019-10-25,135.007,136.764,134.867,136.357,26793382.451189
2019-10-28,139.901,141.142,139.027,139.702,36413107.045504
2019-10-29,139.593,139.999,138.212,138.391,21250669.718294
2019-10-30,139.037,140.496,138.352,140.109,19090583.191315
2019-10-31,140.396,140.426,138.551,138.908,25395292.724465
2019-11-01,139.771,139.921,138.521,139.236,34192234.753186
2019-11-04,140.328,140.496,139.672,140.049,17455102.014271
2019-11-05,140.466,140.516,139.424,139.96,18836250.174243
2019-11-06,139.871,140.019,138.739,139.573,17108105.607564
2019-11-07,139.354,140.376,139.285,139.771,18357907.519941
2019-11-08,139.494,141.449,139.275,141.429,17290936.328664
2019-11-11,140.823,141.866,140.229,141.569,14831657.240329
2019-11-12,141.727,142.988,141.519,142.491,19247588.07081
